"Year","cpi_score","iso_3"
2002,3.4,"SLV"
2003,3.7,"SLV"
2004,4.2,"SLV"
2005,4.2,"SLV"
2006,4,"SLV"
2007,4,"SLV"
2008,3.9,"SLV"
2009,3.4,"SLV"
1998,NA,"GNQ"
1999,NA,"GNQ"
2000,NA,"GNQ"
2001,NA,"GNQ"
2002,NA,"GNQ"
2003,NA,"GNQ"
2004,NA,"GNQ"
2005,1.9,"GNQ"
2006,2.1,"GNQ"
2007,1.9,"GNQ"
2008,1.7,"GNQ"
2009,1.8,"GNQ"
1998,NA,"ERI"
1999,NA,"ERI"
2000,NA,"ERI"
2001,NA,"ERI"
2002,NA,"ERI"
2003,NA,"ERI"
2004,2.6,"ERI"
2005,2.6,"ERI"
2006,2.9,"ERI"
2007,2.8,"ERI"
2008,2.6,"ERI"
2009,2.6,"ERI"
1998,5.7,"EST"
1999,5.7,"EST"
2000,5.7,"EST"
2001,5.6,"EST"
2002,5.6,"EST"
2003,5.5,"EST"
2004,6,"EST"
2005,6.4,"EST"
2006,6.7,"EST"
2007,6.5,"EST"
2008,6.6,"EST"
2009,6.6,"EST"
1998,NA,"ETH"
1999,NA,"ETH"
2000,3.2,"ETH"
2001,NA,"ETH"
2002,3.5,"ETH"
2003,2.5,"ETH"
2004,2.3,"ETH"
2005,2.2,"ETH"
2006,2.4,"ETH"
2007,2.4,"ETH"
2008,2.6,"ETH"
2009,2.7,"ETH"
1998,NA,"FJI"
1999,NA,"FJI"
2000,NA,"FJI"
2001,NA,"FJI"
2002,NA,"FJI"
2003,NA,"FJI"
2004,NA,"FJI"
2005,4,"FJI"
2006,NA,"FJI"
2007,NA,"FJI"
2008,NA,"FJI"
2009,NA,"FJI"
1998,9.6,"FIN"
1999,9.8,"FIN"
2000,10,"FIN"
2001,9.9,"FIN"
2002,9.7,"FIN"
2003,9.7,"FIN"
2004,9.7,"FIN"
2005,9.6,"FIN"
2006,9.6,"FIN"
2007,9.4,"FIN"
2008,9,"FIN"
2009,8.9,"FIN"
1998,6.7,"FRA"
1999,6.6,"FRA"
2000,6.7,"FRA"
2001,6.7,"FRA"
2002,6.3,"FRA"
2003,6.9,"FRA"
2004,7.1,"FRA"
2005,7.5,"FRA"
2006,7.4,"FRA"
2007,7.3,"FRA"
2008,6.9,"FRA"
2009,6.9,"FRA"
1998,NA,"MKD"
1999,NA,"MKD"
2000,NA,"MKD"
2001,NA,"MKD"
2002,NA,"MKD"
2003,NA,"MKD"
2004,NA,"MKD"
2005,NA,"MKD"
2006,NA,"MKD"
2007,3.3,"MKD"
2008,NA,"MKD"
2009,3.8,"MKD"
1998,NA,"GAB"
1999,NA,"GAB"
2000,NA,"GAB"
2001,NA,"GAB"
2002,NA,"GAB"
2003,NA,"GAB"
2004,3.3,"GAB"
2005,2.9,"GAB"
2006,3,"GAB"
2007,3.3,"GAB"
2008,3.1,"GAB"
2009,2.9,"GAB"
1998,NA,"GMB"
1999,NA,"GMB"
2000,NA,"GMB"
2001,NA,"GMB"
2002,NA,"GMB"
2003,2.5,"GMB"
2004,2.8,"GMB"
2005,2.7,"GMB"
2006,2.5,"GMB"
2007,2.3,"GMB"
2008,1.9,"GMB"
2009,2.9,"GMB"
1998,NA,"GEO"
1999,2.3,"GEO"
2000,NA,"GEO"
2001,NA,"GEO"
2002,2.4,"GEO"
2003,1.8,"GEO"
2004,2,"GEO"
2005,2.3,"GEO"
2006,2.8,"GEO"
2007,3.4,"GEO"
2008,3.9,"GEO"
2009,4.1,"GEO"
1998,7.9,"DEU"
1999,8,"DEU"
2000,7.6,"DEU"
2001,7.4,"DEU"
2002,7.3,"DEU"
2003,7.7,"DEU"
2004,8.2,"DEU"
2005,8.2,"DEU"
2006,8,"DEU"
